Date,Open,High,Low,Close,Adj Close,Volume
1992/01/02,"3,152.10","3,172.63","3,139.31","3,172.40","3,172.40","23,550,000"
1992/01/03,"3,172.40","3,210.64","3,165.92","3,201.50","3,201.50","23,620,000"
1992/01/06,"3,201.50","3,213.33","3,191.86","3,200.10","3,200.10","27,280,000"
1992/01/07,"3,200.10","3,210.20","3,184.48","3,204.80","3,204.80","25,510,000"
1992/01/08,"3,204.80","3,229.20","3,185.82","3,203.90","3,203.90","29,040,000"
1992/01/09,"3,203.90","3,228.31","3,192.75","3,209.50","3,209.50","29,820,000"
1992/01/10,"3,209.50","3,217.13","3,185.38","3,199.50","3,199.50","23,440,000"
1992/01/13,"3,199.50","3,201.25","3,179.11","3,185.60","3,185.60","19,300,000"
1992/01/14,"3,185.60","3,248.88","3,182.92","3,246.20","3,246.20","24,220,000"
1992/01/15,"3,246.20","3,263.42","3,232.11","3,258.50","3,258.50","29,560,000"
1992/01/16,"3,258.50","3,262.75","3,222.05","3,249.60","3,249.60","38,100,000"
1992/01/17,"3,249.60","3,279.96","3,243.29","3,265.00","3,265.00","39,780,000"
1992/01/20,"3,265.00","3,269.90","3,245.08","3,254.00","3,254.00","18,190,000"
1992/01/21,"3,254.00","3,254.47","3,215.34","3,223.40","3,223.40","24,160,000"
1992/01/22,"3,223.40","3,256.04","3,216.91","3,255.80","3,255.80","21,590,000"
1992/01/23,"3,255.80","3,266.99","3,222.94","3,226.70","3,226.70","22,140,000"
1992/01/24,"3,226.70","3,248.43","3,216.68","3,232.80","3,232.80","22,600,000"
1992/01/27,"3,232.80","3,246.65","3,230.55","3,240.60","3,240.60","19,110,000"
1992/01/28,"3,240.60","3,275.49","3,239.94","3,272.10","3,272.10","24,960,000"
1992/01/29,"3,272.10","3,299.19","3,218.47","3,225.00","3,225.00","32,500,000"
1992/01/30,"3,225.00","3,247.32","3,216.01","3,244.90","3,244.90","22,080,000"
1992/01/31,"3,244.90","3,255.37","3,222.72","3,223.40","3,223.40","20,610,000"
1992/02/03,"3,223.40","3,239.04","3,213.55","3,234.10","3,234.10","18,860,000"
1992/02/04,"3,234.10","3,272.81","3,229.43","3,272.80","3,272.80","23,970,000"
1992/02/05,"3,272.80","3,282.20","3,251.79","3,257.60","3,257.60","27,360,000"
1992/02/06,"3,257.60","3,265.65","3,238.60","3,255.60","3,255.60","20,490,000"
1992/02/07,"3,255.60","3,269.90","3,207.96","3,225.40","3,225.40","21,660,000"
1992/02/10,"3,225.40","3,247.99","3,223.84","3,245.10","3,245.10","16,100,000"
1992/02/11,"3,245.10","3,259.62","3,236.14","3,251.60","3,251.60","23,400,000"
1992/02/12,"3,251.60","3,286.00","3,244.63","3,276.80","3,276.80","21,580,000"
1992/02/13,"3,276.80","3,283.99","3,236.36","3,246.70","3,246.70","22,200,000"
1992/02/14,"3,246.70","3,254.70","3,221.82","3,246.00","3,246.00","21,260,000"
1992/02/18,"3,246.00","3,268.56","3,219.14","3,224.70","3,224.70","21,970,000"
1992/02/19,"3,224.70","3,241.73","3,215.34","3,230.30","3,230.30","22,930,000"
1992/02/20,"3,230.60","3,283.77","3,230.55","3,280.60","3,280.60","25,840,000"
1992/02/21,"3,280.60","3,286.67","3,252.91","3,280.20","3,280.20","26,840,000"
1992/02/24,"3,280.20","3,289.80","3,266.10","3,282.40","3,282.40","17,880,000"
1992/02/25,"3,282.20","3,282.20","3,240.38","3,257.80","3,257.80","20,980,000"
1992/02/26,"3,257.80","3,290.92","3,254.47","3,283.30","3,283.30","21,160,000"
1992/02/27,"3,283.30","3,286.90","3,265.88","3,269.50","3,269.50","18,710,000"
1992/02/28,"3,269.50","3,293.38","3,259.39","3,267.70","3,267.70","17,960,000"
1992/03/02,"3,267.70","3,276.62","3,261.40","3,275.30","3,275.30","17,220,000"
1992/03/03,"3,275.30","3,295.62","3,272.81","3,290.30","3,290.30","19,520,000"
1992/03/04,"3,290.30","3,299.64","3,268.56","3,268.60","3,268.60","22,800,000"
1992/03/05,"3,268.30","3,268.34","3,235.69","3,241.50","3,241.50","18,220,000"
1992/03/06,"3,241.50","3,252.01","3,213.77","3,221.60","3,221.60","18,460,000"
1992/03/09,"3,221.60","3,227.19","3,211.31","3,215.10","3,215.10","16,530,000"
1992/03/10,"3,215.10","3,248.21","3,214.67","3,231.00","3,231.00","20,730,000"
1992/03/11,"3,231.00","3,233.45","3,198.35","3,208.60","3,208.60","17,670,000"
1992/03/12,"3,208.60","3,213.10","3,188.28","3,208.60","3,208.60","18,080,000"
1992/03/13,"3,208.60","3,237.03","3,208.18","3,235.90","3,235.90","16,370,000"
1992/03/16,"3,235.90","3,236.58","3,208.41","3,236.40","3,236.40","15,050,000"
1992/03/17,"3,236.40","3,260.06","3,235.91","3,256.00","3,256.00","18,020,000"
1992/03/18,"3,256.00","3,271.91","3,246.20","3,254.30","3,254.30","17,890,000"
1992/03/19,"3,254.30","3,269.90","3,251.15","3,261.40","3,261.40","17,170,000"
1992/03/20,"3,261.40","3,277.28","3,255.81","3,276.40","3,276.40","28,640,000"
1992/03/23,"3,275.90","3,275.94","3,261.18","3,272.10","3,272.10","15,690,000"
1992/03/24,"3,272.10","3,284.44","3,249.11","3,261.00","3,261.00","24,380,000"
1992/03/25,"3,261.00","3,276.39","3,251.12","3,259.40","3,259.40","18,960,000"
1992/03/26,"3,259.40","3,275.04","3,251.34","3,267.70","3,267.70","18,120,000"
1992/03/27,"3,267.70","3,268.11","3,226.52","3,231.40","3,231.40","15,140,000"
