Date,Open,High,Low,Close,Adj Close,Volume
1971/2/5,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,0 
1971/2/8,100.84 ,100.84 ,100.84 ,100.84 ,100.84 ,0 
1971/2/9,100.76 ,100.76 ,100.76 ,100.76 ,100.76 ,0 
1971/2/10,100.69 ,100.69 ,100.69 ,100.69 ,100.69 ,0 
1971/2/11,101.45 ,101.45 ,101.45 ,101.45 ,101.45 ,0 
1971/2/12,102.05 ,102.05 ,102.05 ,102.05 ,102.05 ,0 
1971/2/16,102.19 ,102.19 ,102.19 ,102.19 ,102.19 ,0 
1971/2/17,101.74 ,101.74 ,101.74 ,101.74 ,101.74 ,0 
1971/2/18,101.42 ,101.42 ,101.42 ,101.42 ,101.42 ,0 
1971/2/19,100.70 ,100.70 ,100.70 ,100.70 ,100.70 ,0 
1971/2/22,99.68 ,99.68 ,99.68 ,99.68 ,99.68 ,0 
1971/2/23,99.72 ,99.72 ,99.72 ,99.72 ,99.72 ,0 
1971/2/24,100.64 ,100.64 ,100.64 ,100.64 ,100.64 ,0 
1971/2/25,101.23 ,101.23 ,101.23 ,101.23 ,101.23 ,0 
1971/2/26,101.34 ,101.34 ,101.34 ,101.34 ,101.34 ,0 
1971/3/1,101.78 ,101.78 ,101.78 ,101.78 ,101.78 ,0 
1971/3/2,101.84 ,101.84 ,101.84 ,101.84 ,101.84 ,0 
1971/3/3,102.07 ,102.07 ,102.07 ,102.07 ,102.07 ,0 
1971/3/4,102.78 ,102.78 ,102.78 ,102.78 ,102.78 ,0 
1971/3/5,103.00 ,103.00 ,103.00 ,103.00 ,103.00 ,0 
1971/3/8,104.23 ,104.23 ,104.23 ,104.23 ,104.23 ,0 
1971/3/9,104.41 ,104.41 ,104.41 ,104.41 ,104.41 ,0 
1971/3/10,104.14 ,104.14 ,104.14 ,104.14 ,104.14 ,0 
1971/3/11,104.26 ,104.26 ,104.26 ,104.26 ,104.26 ,0 
1971/3/12,104.50 ,104.50 ,104.50 ,104.50 ,104.50 ,0 
1971/3/15,105.13 ,105.13 ,105.13 ,105.13 ,105.13 ,0 
1971/3/16,105.56 ,105.56 ,105.56 ,105.56 ,105.56 ,0 
1971/3/17,105.50 ,105.50 ,105.50 ,105.50 ,105.50 ,0 
1971/3/18,105.88 ,105.88 ,105.88 ,105.88 ,105.88 ,0 
1971/3/19,105.77 ,105.77 ,105.77 ,105.77 ,105.77 ,0 
1971/3/22,105.37 ,105.37 ,105.37 ,105.37 ,105.37 ,0 
1971/3/23,105.11 ,105.11 ,105.11 ,105.11 ,105.11 ,0 
1971/3/24,104.70 ,104.70 ,104.70 ,104.70 ,104.70 ,0 
1971/3/25,104.60 ,104.60 ,104.60 ,104.60 ,104.60 ,0 
1971/3/26,105.07 ,105.07 ,105.07 ,105.07 ,105.07 ,0 
1971/3/29,105.20 ,105.20 ,105.20 ,105.20 ,105.20 ,0 
1971/3/30,105.44 ,105.44 ,105.44 ,105.44 ,105.44 ,0 
1971/3/31,105.97 ,105.97 ,105.97 ,105.97 ,105.97 ,0 
1971/4/1,106.34 ,106.34 ,106.34 ,106.34 ,106.34 ,0 
1971/4/2,106.86 ,106.86 ,106.86 ,106.86 ,106.86 ,0 
1971/4/5,107.17 ,107.17 ,107.17 ,107.17 ,107.17 ,0 
1971/4/6,107.56 ,107.56 ,107.56 ,107.56 ,107.56 ,0 
1971/4/7,108.06 ,108.06 ,108.06 ,108.06 ,108.06 ,0 
1971/4/8,108.38 ,108.38 ,108.38 ,108.38 ,108.38 ,0 
1971/4/12,108.87 ,108.87 ,108.87 ,108.87 ,108.87 ,0 
1971/4/13,108.85 ,108.85 ,108.85 ,108.85 ,108.85 ,0 
1971/4/14,109.08 ,109.08 ,109.08 ,109.08 ,109.08 ,0 
